price,feasible,subscribers,rate_mbps,revenue,A_group_1,A_group_2,A_group_3,A_group_4
16.6,True,411.2167550658321,24.3180752651946,6826.198134092813,1.0,0.9466993739731273,0.024307644745741524,0.0
16.7,True,407.79947751262847,24.52185584198137,6810.251274460895,1.0,0.9427969133395327,0.021377883160774568,0.0
16.8,True,404.55082284132465,24.71877310683968,6796.453823734254,1.0,0.93854687386683,0.01871272007550649,0.0
16.900000000000002,True,401.4582960846923,24.90918757322276,6784.6452038313,1.0,0.9339292004628322,0.016302728880139006,0.0
17.0,True,398.50824319060246,25.093583811306758,6774.640134240241,1.0,0.9289256887454631,0.01413678382389841,0.0
17.1,True,395.6860902722871,25.27255884359899,6766.232143656111,1.0,0.9235205192331797,0.01220220713959097,0.0
17.2,True,392.9766380391536,25.446805311117924,6759.1981742734415,1.0,0.9177007290033015,0.01048499137599977,0.0
17.3,True,390.364393575252,25.61709050462427,6753.30400885186,1.0,0.9114565873945335,0.008970084551210122,0.0
17.400000000000002,True,387.83391737386427,25.784232765697478,6748.310162305239,1.0,0.9047818502028062,0.007641719258687271,0.0
17.5,True,385.37016213215287,25.949076972313062,6743.977837312676,1.0,0.897673878056664,0.006483762800137877,0.0
17.6,True,382.95878146748146,26.11247080346463,6740.074553827674,1.0,0.8901336173944521,0.0054800644308849586,0.0
17.7,True,380.5863910044958,26.27524324662957,6736.379120779576,1.0,0.8821654545944966,0.004614777872067772,0.0
17.8,True,378.2407702750817,26.438186430107308,6732.685710896454,1.0,0.873776963513363,0.0038726417465059907,0.0
17.900000000000002,True,375.91100043238544,26.60204141006159,6728.8069077397,1.0,0.8649785728313975,0.0032392065175242185,0.0
18.0,True,373.5875388462352,26.76748809899652,6724.575699232233,1.0,0.8557831818884918,0.002701002742646471,0.0
18.1,True,371.26223645995356,26.93513914949078,6719.84647992516,1.0,0.8462057525520034,0.002245651055001991,0.0
18.2,True,368.9283069767053,27.105537338536113,6714.495186976036,1.0,0.8362629010039893,0.0018619186398857077,0.0
18.3,True,366.5802584973841,27.279155841588672,6708.418730502129,1.0,0.8259725082461314,0.0015397298312855552,0.0
18.400000000000002,True,364.21379840756634,27.456400728699727,6701.533890699222,1.0,0.815353362574734,0.0012701398669057074,0.0
18.5,True,361.82572140140155,27.637615040933525,6693.7758459259285,1.0,0.8044248422184712,0.0010452810641266282,0.0
