price,feasible,subscribers,rate_mbps,revenue,price_bounds_ok,fixed_point_residual,rate_identity_error,revenue_identity_error,max_acceptance_column_error,acceptance_prob_bounds_ok
2.1,True,1857.941070019637,5.38230203388222,3901.6762470412377,True,-4.547473508864641e-12,0.0,0.0,0.0,True
2.2,True,1756.6575946506175,5.692629019139558,3864.646708231359,True,-1.4097167877480388e-11,0.0,0.0,0.0,True
2.3000000000000003,True,1651.8777421982381,6.053716776092937,3799.318807055948,True,-6.821210263296962e-13,0.0,0.0,0.0,True
2.4000000000000004,True,1550.915482733005,6.447804610460214,3722.1971585592128,True,-6.401933205779642e-09,0.0,0.0,0.0,True
2.5,True,1458.7091291124846,6.8553763052708465,3646.7728227812113,True,-2.8535396268125623e-10,0.0,0.0,0.0,True
2.6,True,1380.6200142193736,7.243122580440189,3589.6120369703717,True,-1.0982148523908108e-10,0.0,0.0,0.0,True
2.7,True,1325.5660096685535,7.543947209766199,3579.0282261050947,True,-1.211901690112427e-10,0.0,0.0,0.0,True
2.8000000000000003,True,1303.0654159199112,7.674211806887995,3648.5831645757517,True,0.0,0.0,0.0,0.0,True
2.9000000000000004,True,1300.1119284514239,7.691645450796761,3770.3245925091296,True,2.0799689082195982e-08,0.0,0.0,0.0,True
3.0,True,1300.0014549081418,7.692299083393411,3900.0043647244256,True,2.2737367544323206e-13,0.0,0.0,0.0,True
3.1,True,1299.9999479995333,7.692308000002774,4029.9998387985534,True,0.0,0.0,0.0,0.0,True
3.2,True,1299.999910544615,7.692308221629533,4159.999713742768,True,2.2737367544323206e-13,0.0,0.0,0.0,True
3.3000000000000003,True,1299.999866417794,7.692308482735028,4289.999559178721,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
3.4000000000000004,True,1299.9998016399597,7.69230886603592,4419.999325575864,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
3.5,True,1299.9997070484126,7.6923094257494276,4549.998974669444,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
3.6,True,1299.9995696958413,7.692310238486988,4679.998450905029,True,0.0,0.0,0.0,0.0,True
3.7,True,1299.9993713698593,7.6923114120144644,4809.99767406848,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
3.8000000000000003,True,1299.99908660879,7.692313096993205,4939.996529113403,True,0.0,0.0,0.0,0.0,True
3.9000000000000004,True,1299.9986800348217,7.692315502760463,5069.994852135806,True,0.0,0.0,0.0,0.0,True
4.0,True,1299.9981027951474,7.692318918388292,5199.992411180589,True,2.2737367544323206e-13,0.0,0.0,0.0,True
4.1000000000000005,True,1299.9972878469116,7.6923237405843,5329.988880172338,True,0.0,0.0,0.0,0.0,True
4.2,True,1299.996143755862,7.692330510388028,5459.98380377462,True,2.2737367544323206e-13,0.0,0.0,0.0,True
4.3,True,1299.9945466005215,7.692339961079025,5589.976550382242,True,0.0,0.0,0.0,0.0,True
4.4,True,1299.9923294825498,7.692353080252719,5719.96624972322,True,0.0,0.0,0.0,0.0,True
4.5,True,1299.989269039508,7.6923711896394815,5849.951710677786,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
4.6000000000000005,True,1299.985068238917,7.692396046938407,5979.931313899018,True,0.0,0.0,0.0,0.0,True
4.7,True,1299.9793346039035,7.692429974701824,6109.902872638347,True,2.2737367544323206e-13,0.0,0.0,0.0,True
4.800000000000001,True,1299.9715528840056,7.692476022121296,6239.863453843228,True,0.0,0.0,0.0,0.0,True
4.9,True,1299.9610510450595,7.692538166401861,6369.809150120792,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
5.0,True,1299.9469583173209,7.6926215612244775,6499.734791586605,True,0.0,0.0,0.0,0.0,True
5.1000000000000005,True,1299.9281539222995,7.692732840524145,6629.6335850037285,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
5.2,True,1299.9032050113701,7.692880486368622,6759.496666059124,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
5.300000000000001,True,1299.8702923131268,7.693075269998626,6889.312549259573,True,0.0,0.0,0.0,0.0,True
5.4,True,1299.8271220270512,7.693330774945843,7019.066458946078,True,0.0,0.0,0.0,0.0,True
5.5,True,1299.770822649711,7.693664010409169,7148.73952457341,True,0.0,0.0,0.0,0.0,True
5.6000000000000005,True,1299.6978257134413,7.694096121543263,7278.307823995272,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
5.7,True,1299.6037298983522,7.694653200773857,7407.741260420607,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
5.800000000000001,True,1299.4831486914782,7.695367200467013,7537.002262410574,True,0.0,0.0,0.0,0.0,True
5.9,True,1299.3295427559137,7.696276942021748,7666.044302259891,True,0.0,0.0,0.0,0.0,True
6.0,True,1299.135039474612,7.697429209548637,7794.810236847672,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
6.1000000000000005,True,1298.8902437685092,7.69887990765617,7923.230486987907,True,0.0,0.0,0.0,0.0,True
6.2,True,1298.5840462483266,7.700695252564124,8051.221086739625,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
6.300000000000001,True,1298.2034369911812,7.702952954104627,8178.681653044442,True,-4.547473508864641e-13,0.0,0.0,0.0,True
6.4,True,1297.7333356235392,7.705743333776015,8305.493347990652,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
6.5,True,1297.156450751173,7.709170311884183,8431.516929882624,True,0.0,0.0,0.0,0.0,True
6.6000000000000005,True,1296.4531838291593,7.713352186358434,8556.591013272453,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
6.7,True,1295.601593952888,7.7184221188629,8680.53067948435,True,-4.547473508864641e-13,0.0,0.0,0.0,True
6.800000000000001,True,1294.5774403579414,7.724528242385462,8803.126594434003,True,-4.547473508864641e-13,0.0,0.0,0.0,True
6.9,True,1293.3543182166613,7.731833310603143,8924.144795694963,True,-4.547473508864641e-13,0.0,0.0,0.0,True
7.0,True,1291.9039002543116,7.740513824620777,9043.32730178018,True,-4.547473508864641e-13,0.0,0.0,0.0,True
7.1000000000000005,True,1290.1962915867064,7.750758597904371,9160.393670265616,True,-4.547473508864641e-13,0.0,0.0,0.0,True
7.2,True,1288.2004980822062,7.762766754777214,9275.043586191885,True,-4.547473508864641e-13,0.0,0.0,0.0,True
7.300000000000001,True,1285.8849999007584,7.776745199432122,9386.960499275538,True,0.0,0.0,0.0,0.0,True
7.4,True,1283.2184124589048,7.792905637036478,9495.816252195897,True,-6.982645572861657e-10,0.0,0.0,0.0,True
