capacity_leased_mbps,nM,nV,valid,interval_contains,pV_formula_error,pM_root_residual,revenue_identity_error
100.0,1452.5605890456206,547.4394109543794,False,False,,,
100.0,1453.8918880686927,546.1081119313073,False,False,,,
100.0,1455.2231870917649,544.7768129082351,False,False,,,
100.0,1456.554486114837,543.4455138851631,False,False,,,
100.0,1457.8857851379091,542.1142148620909,False,False,,,
100.0,1459.2170841609814,540.7829158390186,False,False,,,
100.0,1460.5483831840534,539.4516168159466,False,False,,,
100.0,1461.8796822071256,538.1203177928744,False,False,,,
100.0,1463.2109812301976,536.7890187698024,False,False,,,
100.0,1464.5422802532698,535.4577197467302,False,False,,,
100.0,1465.8735792763418,534.1264207236582,False,False,,,
100.0,1467.204878299414,532.7951217005859,False,False,,,
100.0,1468.5361773224863,531.4638226775137,False,False,,,
100.0,1469.8674763455583,530.1325236544417,False,False,,,
100.0,1471.1987753686305,528.8012246313695,False,False,,,
100.0,1472.5300743917026,527.4699256082974,False,False,,,
100.0,1473.8613734147748,526.1386265852252,False,False,,,
100.0,1475.1926724378468,524.8073275621532,True,True,0.0,1.2505552149377763e-12,2.2737367544323206e-13
100.0,1476.523971460919,523.476028539081,True,True,0.0,3.850573193631135e-10,0.0
100.0,1477.8552704839913,522.1447295160087,True,True,0.0,1.6112494449771475e-08,0.0
100.0,1479.1865695070633,520.8134304929367,True,True,0.0,4.547473508864641e-13,0.0
100.0,1480.5178685301355,519.4821314698645,True,True,0.0,4.092726157978177e-12,0.0
100.0,1481.8491675532075,518.1508324467925,True,True,0.0,7.071321306284517e-11,0.0
100.0,1483.1804665762797,516.8195334237203,True,True,0.0,7.053131412249058e-10,0.0
100.0,1484.5117655993517,515.4882344006483,True,True,0.0,5.021888682676945e-09,0.0
100.0,1485.843064622424,514.156935377576,True,True,0.0,2.7596342988545075e-08,2.2737367544323206e-13
100.0,1487.174363645496,512.825636354504,True,True,0.0,1.1368683772161603e-13,0.0
100.0,1488.5056626685682,511.4943373314318,True,True,0.0,-1.1368683772161603e-13,0.0
100.0,1489.8369616916402,510.1630383083598,True,True,0.0,-2.2737367544323206e-13,0.0
100.0,1491.1682607147125,508.83173928528754,True,True,0.0,1.7053025658242404e-13,0.0
100.0,1492.4995597377847,507.5004402622153,True,True,0.0,-3.979039320256561e-13,0.0
100.0,1493.8308587608567,506.1691412391433,True,True,0.0,-2.7853275241795927e-12,1.1368683772161603e-13
100.0,1495.162157783929,504.83784221607107,True,True,0.0,-1.432454155292362e-11,0.0
100.0,1496.493456807001,503.50654319299906,True,True,0.0,-6.053824108676054e-11,1.1368683772161603e-13
100.0,1497.8247558300732,502.1752441699268,True,True,0.0,-2.2328094928525388e-10,1.1368683772161603e-13
100.0,1499.1560548531452,500.8439451468548,True,True,0.0,-7.241851562866941e-10,0.0
100.0,1500.4873538762174,499.5126461237826,True,True,0.0,-2.1084929358039517e-09,0.0
100.0,1501.8186528992896,498.18134710071035,True,True,0.0,-5.54848611500347e-09,0.0
100.0,1503.1499519223617,496.85004807763835,True,True,0.0,-1.3299938927957555e-08,1.1368683772161603e-13
100.0,1504.4812509454339,495.5187490545661,True,True,0.0,-2.922178055086988e-08,0.0
100.0,1505.812549968506,494.1874500314941,True,True,0.0,3.632163725342252e-08,0.0
100.0,1507.1438489915781,492.8561510084219,True,True,0.0,3.979039320256561e-13,0.0
100.0,1508.4751480146501,491.52485198534987,True,True,0.0,-3.374225343577564e-10,0.0
100.0,1509.8064470377224,490.19355296227764,True,True,0.0,-3.1036506698001176e-11,0.0
100.0,1511.1377460607946,488.8622539392054,True,True,0.0,-1.8758328224066645e-12,0.0
100.0,1512.4690450838666,487.5309549161334,True,True,0.0,-4.547473508864641e-13,1.1368683772161603e-13
100.0,1513.8003441069388,486.19965589306116,True,True,0.0,-1.877845079434337e-08,-1.1368683772161603e-13
100.0,1515.1316431300108,484.86835686998916,True,True,0.0,4.035882739117369e-11,0.0
100.0,1516.462942153083,483.5370578469169,True,True,0.0,8.616325430921279e-10,0.0
100.0,1517.794241176155,482.2057588238449,True,True,0.0,6.0811089497292414e-09,0.0
100.0,1519.1255401992273,480.8744598007727,True,True,0.0,2.490304495950113e-08,0.0
100.0,1520.4568392222993,479.5431607777007,True,True,0.0,-2.9734962936345255e-08,0.0
100.0,1521.7881382453716,478.21186175462844,True,True,0.0,-5.684341886080801e-13,2.2737367544323206e-13
100.0,1523.1194372684436,476.88056273155644,True,True,0.0,-1.7053025658242404e-13,0.0
100.0,1524.4507362915158,475.5492637084842,True,True,0.0,5.684341886080801e-13,2.2737367544323206e-13
100.0,1525.782035314588,474.21796468541197,True,True,0.0,1.5347723092418164e-12,0.0
100.0,1527.11333433766,472.88666566233996,True,True,0.0,2.9558577807620168e-12,0.0
100.0,1528.4446333607323,471.55536663926773,True,True,0.0,4.092726157978177e-12,-2.2737367544323206e-13
100.0,1529.7759323838043,470.2240676161957,True,True,0.0,6.59383658785373e-12,0.0
100.0,1531.1072314068765,468.8927685931235,True,True,0.0,7.73070496506989e-12,0.0
100.0,1532.4385304299485,467.5614695700515,True,True,0.0,9.777068044058979e-12,0.0
100.0,1533.7698294530207,466.23017054697925,True,True,0.0,1.0629719326971099e-11,0.0
100.0,1535.101128476093,464.898871523907,True,True,0.0,9.606537787476555e-12,0.0
100.0,1536.432427499165,463.567572500835,True,True,0.0,-2.8421709430404007e-13,0.0
100.0,1537.7637265222372,462.2362734777628,True,True,0.0,-3.410605131648481e-13,-2.2737367544323206e-13
100.0,1539.0950255453092,460.9049744546908,True,True,0.0,-2.8421709430404007e-13,0.0
100.0,1540.4263245683815,459.57367543161854,True,True,0.0,3.410605131648481e-13,0.0
100.0,1541.7576235914535,458.24237640854653,True,True,0.0,-3.410605131648481e-13,0.0
100.0,1543.0889226145257,456.9110773854743,True,True,0.0,2.8421709430404007e-13,0.0
100.0,1544.420221637598,455.57977836240207,True,True,0.0,5.115907697472721e-13,0.0
100.0,1545.75152066067,454.24847933933006,True,True,0.0,-2.1804453353979625e-08,0.0
100.0,1547.0828196837422,452.9171803162578,True,True,0.0,2.5498479772068094e-08,-2.2737367544323206e-13
100.0,1548.4141187068142,451.5858812931858,True,True,0.0,5.740048436564393e-09,0.0
100.0,1549.7454177298864,450.2545822701136,True,True,0.0,1.031821739161387e-09,0.0
100.0,1551.0767167529584,448.9232832470416,True,True,0.0,1.3790213415632024e-10,0.0
100.0,1552.4080157760307,447.59198422396935,True,True,0.0,1.2107648217352107e-11,0.0
100.0,1553.7393147991027,446.26068520089734,True,True,0.0,1.9326762412674725e-12,0.0
100.0,1555.070613822175,444.9293861778251,True,True,0.0,-3.557715899660252e-08,0.0
100.0,1556.401912845247,443.5980871547531,True,True,0.0,-4.95333551953081e-10,-2.2737367544323206e-13
100.0,1557.7332118683191,442.26678813168087,True,True,0.0,1.864464138634503e-11,0.0
100.0,1559.0645108913914,440.93548910860864,True,True,0.0,-8.581082511227578e-10,0.0
100.0,1560.3958099144634,439.60419008553663,True,True,0.0,4.943450448990916e-08,0.0
100.0,1561.7271089375356,438.2728910624644,True,True,0.0,1.7053025658242404e-13,0.0
100.0,1563.0584079606076,436.9415920393924,True,True,0.0,3.467448550509289e-12,0.0
100.0,1564.3897069836798,435.61029301632016,True,True,0.0,2.0236257114447653e-11,2.2737367544323206e-13
100.0,1565.7210060067518,434.27899399324815,True,True,0.0,7.173639460233971e-11,0.0
100.0,1567.052305029824,432.9476949701759,True,True,0.0,1.794546733435709e-10,0.0
100.0,1568.3836040528963,431.6163959471037,True,True,0.0,3.482796273601707e-10,0.0
100.0,1569.7149030759683,430.2850969240317,True,True,0.0,5.473452802107204e-10,0.0
100.0,1571.0462020990406,428.95379790095944,True,True,0.0,7.116796041373163e-10,0.0
100.0,1572.3775011221126,427.62249887788744,True,True,0.0,7.759695108688902e-10,0.0
100.0,1573.7088001451848,426.2911998548152,True,True,0.0,7.102016752469353e-10,0.0
100.0,1575.0400991682568,424.9599008317432,True,True,0.0,5.385913937061559e-10,0.0
100.0,1576.371398191329,423.62860180867096,True,True,0.0,3.278159965702798e-10,0.0
100.0,1577.7026972144013,422.29730278559873,True,True,0.0,1.4858869690215215e-10,0.0
100.0,1579.0339962374733,420.9660037625267,True,True,0.0,4.25757207267452e-11,0.0
100.0,1580.3652952605455,419.6347047394545,True,True,0.0,4.490630090003833e-12,0.0
100.0,1581.6965942836175,418.3034057163825,True,True,0.0,1.5258763141901e-08,0.0
100.0,1583.0278933066897,416.97210669331025,True,True,0.0,4.547473508864641e-13,-2.2737367544323206e-13
100.0,1584.3591923297618,415.64080767023825,True,True,0.0,-3.6050096241524443e-10,0.0
100.0,1585.690491352834,414.309508647166,True,True,0.0,-1.1448264558566734e-10,0.0
100.0,1587.021790375906,412.978209624094,True,True,0.0,-2.972910806420259e-11,0.0
100.0,1588.3530893989782,411.6469106010218,True,True,0.0,-5.5706550483591855e-12,0.0
100.0,1589.6843884220502,410.31561157794977,True,True,0.0,-1.0231815394945443e-12,0.0
100.0,1591.0156874451225,408.98431255487753,True,True,0.0,-3.410605131648481e-13,0.0
100.0,1592.3469864681947,407.6530135318053,True,True,0.0,0.0,0.0
100.0,1593.6782854912667,406.3217145087333,True,True,0.0,3.859668140648864e-10,0.0
100.0,1595.009584514339,404.99041548566106,True,True,0.0,2.6147972675971687e-11,0.0
100.0,1596.340883537411,403.65911646258905,True,True,0.0,5.684341886080801e-13,0.0
100.0,1597.6721825604832,402.3278174395168,True,True,0.0,-4.67332483822247e-08,0.0
100.0,1599.0034815835552,400.9965184164448,True,True,0.0,-2.3777602109475993e-09,0.0
100.0,1600.3347806066274,399.6652193933726,True,True,0.0,-5.042011252953671e-11,0.0
100.0,1601.6660796296997,398.33392037030035,True,True,0.0,-1.1368683772161603e-13,-2.2737367544323206e-13
100.0,1602.9973786527717,397.00262134722834,True,True,0.0,2.0463630789890885e-12,0.0
100.0,1604.328677675844,395.6713223241561,True,True,0.0,6.59383658785373e-12,0.0
100.0,1605.659976698916,394.3400233010841,True,True,0.0,2.1600499167107046e-12,-2.2737367544323206e-13
100.0,1606.9912757219881,393.00872427801187,True,True,0.0,-4.547473508864641e-13,-2.2737367544323206e-13
100.0,1608.3225747450601,391.67742525493986,True,True,0.0,2.5809526960074436e-08,0.0
100.0,1609.6538737681324,390.34612623186763,True,True,0.0,2.7353053155820817e-10,2.2737367544323206e-13
100.0,1610.9851727912046,389.0148272087954,True,True,0.0,2.8421709430404007e-13,0.0
100.0,1612.3164718142766,387.6835281857234,True,True,0.0,-9.297309588873759e-10,0.0
100.0,1613.6477708373486,386.3522291626514,True,True,0.0,-1.991094222830725e-08,0.0
100.0,1614.9790698604209,385.02093013957915,True,True,0.0,-4.69735823571682e-08,0.0
100.0,1616.310368883493,383.6896311165069,True,True,0.0,-3.410605131648481e-13,0.0
100.0,1617.641667906565,382.3583320934349,True,True,0.0,1.1368683772161603e-12,0.0
100.0,1618.9729669296373,381.0270330703627,True,True,0.0,4.149569576838985e-12,0.0
100.0,1620.3042659527093,379.69573404729067,True,True,0.0,7.73070496506989e-12,-2.2737367544323206e-13
100.0,1621.6355649757816,378.36443502421844,True,True,0.0,1.2221335055073723e-11,0.0
100.0,1622.9668639988536,377.03313600114643,True,True,0.0,2.2737367544323206e-12,0.0
100.0,1624.2981630219258,375.7018369780742,True,True,0.0,-1.1093106877524406e-08,0.0
100.0,1625.629462044998,374.37053795500196,True,True,0.0,-4.547473508864641e-13,-2.2737367544323206e-13
100.0,1626.96076106807,373.03923893192996,True,True,0.0,-6.30961949354969e-12,-2.2737367544323206e-13
100.0,1628.2920600911423,371.7079399088577,True,True,0.0,-2.347633198951371e-11,0.0
100.0,1629.6233591142143,370.3766408857857,True,True,0.0,-2.5011104298755527e-11,0.0
100.0,1630.9546581372865,369.0453418627135,True,True,0.0,3.6777692002942786e-11,0.0
100.0,1632.2859571603585,367.7140428396415,True,True,0.0,-1.3699263945454732e-11,0.0
100.0,1633.6172561834308,366.38274381656925,True,True,0.0,-3.596483111323323e-10,-2.2737367544323206e-13
100.0,1634.948555206503,365.051444793497,True,True,0.0,-9.576979209668934e-10,0.0
100.0,1636.279854229575,363.720145770425,True,True,0.0,-2.8420060971257044e-08,0.0
100.0,1637.6111532526472,362.3888467473528,True,True,0.0,-4.709039558292716e-08,0.0
100.0,1638.9424522757192,361.05754772428077,True,True,0.0,-5.574298711508163e-08,-2.2737367544323206e-13
100.0,1640.2737512987915,359.72624870120853,True,True,0.0,-4.870241809840081e-08,0.0
100.0,1641.6050503218635,358.3949496781365,True,True,0.0,-3.059625441892422e-08,2.2737367544323206e-13
100.0,1642.9363493449357,357.0636506550643,True,True,0.0,-1.226470658366452e-08,0.0
100.0,1644.267648368008,355.73235163199206,True,True,0.0,-1.9721255739568733e-09,0.0
100.0,1645.59894739108,354.40105260892005,True,True,0.0,-6.639311322942376e-11,0.0
100.0,1646.930246414152,353.06975358584805,True,True,0.0,-9.935661182680633e-10,0.0
100.0,1648.2615454372242,351.7384545627758,True,True,0.0,-8.309939403261524e-10,0.0
100.0,1649.5928444602964,350.4071555397036,True,True,0.0,-2.050342118309345e-10,0.0
100.0,1650.9241434833684,349.0758565166316,True,True,0.0,-6.650680006714538e-12,0.0
100.0,1652.2554425064407,347.74455749355934,True,True,0.0,-1.2863665688200854e-10,0.0
100.0,1653.5867415295127,346.41325847048734,True,True,0.0,7.901235221652314e-12,0.0
100.0,1654.918040552585,345.0819594474151,True,True,0.0,5.546212378249038e-10,0.0
100.0,1656.249339575657,343.7506604243431,True,True,0.0,7.541075319750234e-09,0.0
100.0,1657.5806385987291,342.41936140127086,True,True,0.0,4.9642551402939716e-08,0.0
100.0,1658.9119376218014,341.08806237819863,True,True,0.0,-2.2737367544323206e-13,0.0
100.0,1660.2432366448734,339.7567633551266,True,True,0.0,-3.524291969370097e-12,0.0
100.0,1661.5745356679456,338.4254643320544,True,True,0.0,-9.947598300641403e-12,0.0
100.0,1662.9058346910176,337.0941653089824,True,True,0.0,-2.3987922759260982e-11,0.0
100.0,1664.2371337140899,335.76286628591015,True,True,0.0,-5.377387424232438e-11,0.0
100.0,1665.5684327371619,334.43156726283814,True,True,0.0,1.1056329185521463e-08,0.0
100.0,1666.899731760234,333.1002682397659,True,True,0.0,4.712944701168453e-09,0.0
100.0,1668.2310307833063,331.7689692166937,True,True,0.0,1.3364456208364572e-09,0.0
100.0,1669.5623298063783,330.43767019362167,True,True,0.0,1.844000507844612e-10,0.0
100.0,1670.8936288294503,329.10637117054966,True,True,0.0,3.069544618483633e-12,0.0
100.0,1672.2249278525226,327.77507214747743,True,True,0.0,-1.0334133548894897e-10,0.0
100.0,1673.5562268755948,326.4437731244052,True,True,0.0,-3.3218725548067596e-09,0.0
100.0,1674.8875258986668,325.1124741013332,True,True,0.0,-1.1034444469260052e-08,0.0
100.0,1676.218824921739,323.78117507826096,True,True,0.0,-1.8847117644327227e-08,-4.547473508864641e-13
100.0,1677.5501239448113,322.4498760551887,True,True,0.0,-2.222486727987416e-08,0.0
100.0,1678.8814229678833,321.1185770321167,True,True,0.0,-2.0017807855765568e-08,0.0
100.0,1680.2127219909553,319.7872780090447,True,True,0.0,-1.4323290997708682e-08,0.0
100.0,1681.5440210140275,318.4559789859725,True,True,0.0,-8.232859727286268e-09,0.0
100.0,1682.8753200370998,317.12467996290025,True,True,0.0,-3.776051471504616e-09,0.0
100.0,1684.2066190601718,315.79338093982824,True,True,0.0,-1.353384959656978e-09,0.0
100.0,1685.537918083244,314.462081916756,True,True,0.0,-3.6419578464119695e-10,0.0
100.0,1686.869217106316,313.130782893684,True,True,0.0,-6.940581442904659e-11,0.0
100.0,1688.2005161293882,311.79948387061177,True,True,0.0,-7.958078640513122e-12,0.0
100.0,1689.5318151524602,310.46818484753976,True,True,0.0,-3.979039320256561e-13,0.0
100.0,1690.8631141755325,309.1368858244675,True,True,0.0,-6.613862524318392e-08,0.0
100.0,1692.1944131986047,307.8055868013953,True,True,0.0,-3.151853888994083e-09,0.0
100.0,1693.5257122216767,306.4742877783233,True,True,0.0,-2.5067947717616335e-11,0.0
100.0,1694.857011244749,305.14298875525105,True,True,0.0,1.101739144360181e-09,0.0
100.0,1696.188310267821,303.81168973217905,True,True,0.0,-2.6147972675971687e-12,-4.547473508864641e-13
100.0,1697.5196092908932,302.4803907091068,True,True,0.0,-1.9537083062459715e-10,0.0
100.0,1698.8509083139652,301.1490916860348,True,True,0.0,-3.910656687367009e-09,0.0
100.0,1700.1822073370374,299.8177926629626,True,True,0.0,-6.58413341625419e-08,0.0
100.0,1701.5135063601097,298.48649363989034,True,True,0.0,-3.979039320256561e-13,0.0
