capacity_leased_mbps,nM,nV,valid,interval_contains,pV_formula_error,pM_root_residual,revenue_identity_error
475.0,198.2721292535157,1801.7278707464843,True,True,0.0,3.5151970223523676e-10,0.0
480.0,198.2529327569398,1801.7470672430602,True,True,0.0,9.094947017729282e-13,0.0
485.0,198.2335275797302,1801.7664724202698,True,True,0.0,9.526957001071423e-11,0.0
490.0,198.21391889059373,1801.7860811094063,True,True,0.0,-4.595449354383163e-09,0.0
495.0,198.192247131861,1801.807752868139,True,True,0.0,0.0,0.0
500.0,198.17224607294816,1801.8277539270518,True,True,0.0,1.9592789612943307e-09,0.0
505.0,198.15019114174015,1801.8498088582598,True,True,0.0,0.0,0.0
510.0,198.1279513787215,1801.8720486212785,True,True,0.0,7.4451236287131906e-09,0.0
515.0,198.10553112801063,1801.8944688719894,True,True,0.0,2.841261448338628e-09,1.8189894035458565e-12
520.0,198.082934588836,1801.917065411164,True,True,0.0,6.375557859428227e-10,0.0
525.0,198.0601658217547,1801.9398341782453,True,True,0.0,-3.1327545002568513e-09,0.0
530.0,198.03536330584643,1801.9646366941536,True,True,0.0,2.2737367544323206e-13,0.0
535.0,198.01039604547032,1801.9896039545297,True,True,0.0,1.1389147402951494e-09,0.0
540.0,197.98526772397395,1802.014732276026,True,True,0.0,-5.070432962384075e-11,0.0
545.0,197.95998190771184,1802.0400180922882,True,True,0.0,-6.821210263296962e-13,0.0
550.0,197.93267612144064,1802.0673238785594,True,True,0.0,-4.547473508864641e-13,0.0
555.0,197.90521940809822,1802.0947805919018,True,True,0.0,-1.0138592188013718e-09,-1.8189894035458565e-12
560.0,197.87761501508135,1802.1223849849187,True,True,0.0,8.853930921759456e-10,1.8189894035458565e-12
565.0,197.84799981587344,1802.1520001841266,True,True,0.0,-3.001332515850663e-10,-1.8189894035458565e-12
570.0,197.81824291304406,1802.181757086956,True,True,0.0,-1.1368683772161603e-12,-1.8189894035458565e-12
575.0,197.7883472714866,1802.2116527285134,True,True,0.0,-1.318767317570746e-11,0.0
580.0,197.75644916032047,1802.2435508396795,True,True,0.0,-1.5916157281026244e-12,0.0
585.0,197.72441776200776,1802.2755822379922,True,True,0.0,7.289145287359133e-09,0.0
590.0,197.69038896734264,1802.3096110326574,True,True,0.0,-4.19777279603295e-09,0.0
595.0,197.65623202269353,1802.3437679773065,True,True,0.0,-1.1416432244004682e-09,0.0
600.0,197.6200824573998,1802.3799175426002,True,True,0.0,3.865352482534945e-12,0.0
605.0,197.5838095880631,1802.416190411937,True,True,0.0,7.599737728014588e-09,0.0
610.0,197.54554859817517,1802.4544514018248,True,True,0.0,-7.048583938740194e-12,0.0
615.0,197.50716888009333,1802.4928311199067,True,True,0.0,5.3432813729159534e-11,0.0
620.0,197.46493784486938,1802.5350621551306,True,True,0.0,-1.4169927453622222e-09,0.0
625.0,197.42259220833557,1802.5774077916644,True,True,0.0,-5.743459041696042e-10,0.0
630.0,197.37826650784586,1802.6217334921541,True,True,0.0,2.2737367544323206e-13,0.0
635.0,197.33383030417758,1802.6661696958224,True,True,0.0,-7.79891706770286e-11,0.0
640.0,197.28554999803646,1802.7144500019635,True,True,0.0,0.0,0.0
645.0,197.23716287957768,1802.7628371204223,True,True,0.0,1.7962520360015333e-10,0.0
650.0,197.1849348696403,1802.8150651303597,True,True,0.0,-8.174083632184193e-10,0.0
655.0,197.13260354539034,1802.8673964546097,True,True,0.0,-2.1964297047816217e-10,0.0
660.0,197.0764343623082,1802.9235656376918,True,True,0.0,0.0,0.0
665.0,197.01829688700832,1802.9817031129917,True,True,0.0,-1.0354597179684788e-09,0.0
670.0,196.95632423894563,1803.0436757610544,True,True,0.0,3.3319338399451226e-09,0.0
675.0,196.8923860916418,1803.1076139083582,True,True,0.0,-1.7712409317027777e-10,0.0
680.0,196.82648387525978,1803.1735161247402,True,True,0.0,4.274625098332763e-11,0.0
685.0,196.75675033145444,1803.2432496685456,True,True,0.0,9.094947017729282e-13,-1.8189894035458565e-12
690.0,196.6831865572649,1803.316813442735,True,True,0.0,7.207745511550456e-10,0.0
695.0,196.60392479618122,1803.3960752038188,True,True,0.0,-2.455408321111463e-09,0.0
700.0,196.5227036493136,1803.4772963506864,True,True,0.0,5.434230843093246e-11,0.0
705.0,196.43765538935259,1803.5623446106474,True,True,0.0,4.888534022029489e-11,0.0
710.0,196.34504284734362,1803.6549571526564,True,True,0.0,0.0,0.0
715.0,196.24860480328152,1803.7513951967185,True,True,0.0,9.799805411603302e-11,0.0
720.0,196.14647295349323,1803.8535270465068,True,True,0.0,1.1050360626541078e-10,0.0
725.0,196.03864796735616,1803.9613520326438,True,True,0.0,4.547473508864641e-13,-1.8189894035458565e-12
730.0,195.92139169066877,1804.0786083093312,True,True,0.0,5.279616743791848e-10,-1.8189894035458565e-12
735.0,195.79844324087844,1804.2015567591216,True,True,0.0,-9.094947017729282e-13,0.0
740.0,195.66606411453813,1804.3339358854619,True,True,0.0,-5.25301402376499e-09,0.0
745.0,195.5242544429459,1804.475745557054,True,True,0.0,-6.959908205317333e-10,-1.8189894035458565e-12
750.0,195.37114463258013,1804.6288553674199,True,True,0.0,-2.637534635141492e-11,0.0
755.0,195.20673456755299,1804.793265432447,True,True,0.0,4.995399649487808e-10,0.0
760.0,195.02915425898618,1804.9708457410138,True,True,0.0,4.18367562815547e-09,0.0
765.0,194.60466029537724,1805.3953397046228,True,True,0.0,7.958078640513122e-12,0.0
770.0,193.11415585488066,1806.8858441451193,True,True,0.0,2.0463630789890885e-12,0.0
775.0,192.75861554972857,1807.2413844502714,True,True,0.0,-1.6416379367001355e-10,0.0
780.0,192.36745124405206,1807.632548755948,True,True,0.0,-1.2275449989829212e-08,0.0
785.0,191.93130889984582,1808.0686911001542,True,True,0.0,-1.3665157894138247e-10,0.0
790.0,191.4427033887323,1808.5572966112677,True,True,0.0,-1.8189894035458565e-11,0.0
795.0,190.89601887952563,1809.1039811204744,True,True,0.0,-2.7625901566352695e-10,0.0
800.0,190.28002739746694,1809.719972602533,True,True,0.0,0.0,0.0
805.0,189.5816288336921,1810.418371166308,True,True,0.0,-1.1141310096718371e-11,0.0
810.0,188.78772122380337,1811.2122787761966,True,True,0.0,-4.547473508864641e-13,0.0
815.0,187.88145945716678,1812.1185405428332,True,True,0.0,0.0,0.0
820.0,186.8441253592357,1813.1558746407643,True,True,0.0,-1.320813680649735e-09,0.0
